,Product_title,Brand,Processor,Processor_Brand,RAM(GB),OS,Storage,Screen_size(inch),Price,FLipkart_price,Amazon_price,Croma_price,Ratings
4179,Lenovo Thinkpad T14 (20S0S1MC00) Laptop (14 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 512 GB SSD),Lenovo, Core i7 10th Gen ,Intel,16, Windows 10 , 512 GB SSD,14,163000,163000,NA/OOS,NA/OOS,
4180,HP Omen 15-dh0136TX (7QU41PA) Laptop (15.6 Inch | Core i7 9th Gen | 16 GB | Windows 10 | 1 TB HDD 512 GB SSD),HP, Core i7 9th Gen ,Intel,16, Windows 10 , 1 TB HDD 512 GB SSD,15.6,165999,NA/OOS,NA/OOS,NA/OOS,4
4181,ASUS TUF Gaming A15 FA566IU-HN246T Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 8 GB | Windows 10 | 1 TB SSD),ASUS, AMD Octa Core Ryzen 7 ,AMD,8, Windows 10 , 1 TB SSD,15.6,102990,NA/OOS,NA/OOS,NA/OOS,4.5
4182,Acer Swift 7 SF713-51 (NX.GK6SI.007) Ultrabook (13.3 Inch | Core i5 7th Gen | 8 GB | Windows 10 | 256 GB SSD),Acer, Core i5 7th Gen ,Intel,8, Windows 10 , 256 GB SSD,13.3,86108,NA/OOS,NA/OOS,NA/OOS,4.6
4183,Lenovo Legion Y720 (80VR00ESIN) Laptop (15.6 Inch | Core i7 7th Gen | 16 GB | Windows 10 | 2 TB HDD 256 GB SSD),Lenovo, Core i7 7th Gen ,Intel,16, Windows 10 , 2 TB HDD 256 GB SSD,15.6,149990,NA/OOS,NA/OOS,NA/OOS,4.6
4184,HP Pavilion Gaming 16-a0024TX (183L3PA) Laptop (16.1 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD),HP, Core i7 10th Gen ,Intel,16, Windows 10 , 1 TB HDD 256 GB SSD,16.1,95490,NA/OOS,NA/OOS,NA/OOS,4.2
4185,HP Omen 15-ek0018tx (183H5PA) Laptop (15.6 Inch | Core i7 10th Gen | 8 GB | Windows 10 | 1 TB SSD),HP, Core i7 10th Gen ,Intel,8, Windows 10 , 1 TB SSD,15.6,97550,NA/OOS,97050,NA/OOS,4.3
4186,HP 250 G7 (1S5E9PA) Laptop (15.6 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 1 TB HDD),HP, Core i3 10th Gen ,Intel,4, Windows 10 , 1 TB HDD,15.6,41399,NA/OOS,NA/OOS,NA/OOS,4.1
4187,HP Pavilion 14-r202tu (K8U10PA) Laptop (14.0 Inch | Core i3 4th Gen | 4 GB | Windows 8.1 | 500 GB HDD),HP, Core i3 4th Gen ,Intel,4, Windows 8.1 , 500 GB HDD,14,33990,NA/OOS,NA/OOS,NA/OOS,3.9
4188,Dell Inspiron 13 7380 (B569506WIN9) Laptop (13 Inch | Core i7 8th Gen | 16 GB | Windows 10 | 512 GB SSD),Dell, Core i7 8th Gen ,Intel,16, Windows 10 , 512 GB SSD,13,92990,NA/OOS,NA/OOS,NA/OOS,3.8
4189,HP 14s-cs3009tu (159C9PA) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),HP, Core i5 10th Gen ,Intel,8, Windows 10 , 1 TB HDD 256 GB SSD,14,59990,NA/OOS,NA/OOS,NA/OOS,3.8
4190,HP Omen 15-dh1020nr (2L004UA) Laptop (15.6 Inch | Core i7 10th Gen | 8 GB | Windows 10 | 512 GB SSD),HP, Core i7 10th Gen ,Intel,8, Windows 10 , 512 GB SSD,15.6,138674,NA/OOS,NA/OOS,NA/OOS,
4191,HP 15-ay089tu (X3C64PA) Laptop (15.6 Inch | Pentium Quad Core | 4 GB | DOS | 500 GB HDD),HP, Pentium Quad Core ,AMD,4, DOS , 500 GB HDD,15.6,19990,NA/OOS,NA/OOS,NA/OOS,3.6
4192,HP Pavilion TouchSmart 14 x360 14-ba078TX (2LR85PA) Laptop (14 Inch | Core i7 7th Gen | 8 GB | Windows 10 | 1 TB HDD 8 GB SSD),HP, Core i7 7th Gen ,Intel,8, Windows 10 , 1 TB HDD 8 GB SSD,14,82990,NA/OOS,NA/OOS,NA/OOS,3.6
4193,Dell Inspiron 15 7559 (i7559-5012GRY) Laptop (15.6 Inch | Core i7 6th Gen | 8 GB | Windows 10 | 1 TB HDD),Dell, Core i7 6th Gen ,Intel,8, Windows 10 , 1 TB HDD,15.6,90000,NA/OOS,NA/OOS,NA/OOS,3.6
4194,Dell Inspiron 15 7559 (Y567503HIN9) Laptop (15.6 Inch | Core i7 6th Gen | 16 GB | Windows 10 | 1 TB HDD 128 GB SSD),Dell, Core i7 6th Gen ,Intel,16, Windows 10 , 1 TB HDD 128 GB SSD,15.6,100990,NA/OOS,NA/OOS,NA/OOS,3.6
4195,Dell G5 15 SE (D560323HIN9S) Laptop (15. Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 10 | 512 GB SSD),Dell, AMD Octa Core Ryzen 7 ,AMD,16, Windows 10 , 512 GB SSD,15,89990,NA/OOS,NA/OOS,NA/OOS,5
4196,Lenovo Ideapad 320 (80XV00YDIN) Laptop (15.6 Inch | AMD Dual Core A9 | 8 GB | DOS | 1 TB HDD),Lenovo, AMD Dual Core A9 ,AMD,8, DOS , 1 TB HDD,15.6,30227,NA/OOS,NA/OOS,NA/OOS,3.1
4197,Lenovo Ideapad 520S-14IKB (80X200EMIN) Laptop (14 Inch | Core i5 7th Gen | 8 GB | Windows 10 | 256 GB SSD),Lenovo, Core i5 7th Gen ,Intel,8, Windows 10 , 256 GB SSD,14,69500,NA/OOS,NA/OOS,NA/OOS,4.5
4198,Lenovo Thinkpad E14 (20RAS16300) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 256 GB SSD),Lenovo, Core i5 10th Gen ,Intel,8, Windows 10 , 256 GB SSD,14,58490,NA/OOS,NA/OOS,NA/OOS,
4199,Dell Inspiron 14 7490 (D560110WIN9S) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),Dell, Core i5 10th Gen ,Intel,8, Windows 10 , 512 GB SSD,14,66994,NA/OOS,NA/OOS,NA/OOS,
4200,Lenovo Legion 5i (82AU00AXIN) Laptop (15.6 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD),Lenovo, Core i7 10th Gen ,Intel,16, Windows 10 , 1 TB HDD 256 GB SSD,15.6,98990,NA/OOS,NA/OOS,NA/OOS,
4201,ASUS Vivobook E203NAH-FD053T Laptop (11.6 Inch | Celeron Dual Core | 2 GB | Windows 10 | 500 GB HDD),ASUS, Celeron Dual Core ,AMD,2, Windows 10 , 500 GB HDD,11.6,19490,NA/OOS,NA/OOS,NA/OOS,3.5
4202,ASUS VivoBook Flip 14 TM420IA-EC097TS Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD),ASUS, AMD Hexa Core Ryzen 5 ,AMD,8, Windows 10 , 512 GB SSD,14,69990,NA/OOS,NA/OOS,NA/OOS,4
4203,ASUS ROG Strix Scar 15 G532LWS-HF127T Laptop (15.6 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 1 TB SSD),ASUS, Core i7 10th Gen ,Intel,16, Windows 10 , 1 TB SSD,15.6,153000,NA/OOS,NA/OOS,NA/OOS,3.9
4204,MSI P65 Creator 9SE-1494IN Laptop (15.6 Inch | Core i7 9th Gen | 32 GB | Windows 10 | 1 TB SSD),MSI, Core i7 9th Gen ,Intel,32, Windows 10 , 1 TB SSD,15.6,169990,NA/OOS,NA/OOS,NA/OOS,5
4205,Lenovo Ideapad L340 (81LK01Q5IN) Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD),Lenovo, Core i5 9th Gen ,Intel,8, Windows 10 , 1 TB HDD,15.6,57990,NA/OOS,NA/OOS,NA/OOS,
4206,Lenovo Legion 5 (82B500EDIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),Lenovo, AMD Hexa Core Ryzen 5 ,AMD,8, Windows 10 , 1 TB HDD 256 GB SSD,15.6,75990,NA/OOS,NA/OOS,NA/OOS,
4207,ASUS TUF Gaming A15 FA506IV-HN294T Laptop (15.6 Inch | AMD Octa Core Ryzen 9 | 16 GB | Windows 10 | 1 TB HDD 512 GB SSD),ASUS, AMD Octa Core Ryzen 9 ,AMD,16, Windows 10 , 1 TB HDD 512 GB SSD,15.6,119990,NA/OOS,NA/OOS,NA/OOS,
4208,ASUS TUF Gaming A15 FA506IV-AL173T Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD),ASUS, AMD Octa Core Ryzen 7 ,AMD,16, Windows 10 , 1 TB HDD 256 GB SSD,15.6,119990,NA/OOS,NA/OOS,NA/OOS,
4209,Lenovo Thinkpad L13 (20R3S00G00) Laptop (13.3 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 512 GB SSD),Lenovo, Core i7 10th Gen ,Intel,16, Windows 10 , 512 GB SSD,13.3,99990,NA/OOS,NA/OOS,NA/OOS,4
4210,Lenovo Ideapad 520 (81BF00KEIN) Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 2 TB HDD),Lenovo, Core i5 8th Gen ,Intel,8, Windows 10 , 2 TB HDD,15.6,64821,64821,NA/OOS,NA/OOS,4
4211,Acer Aspire ES1-531 (NX.MZ8SI.009) Laptop (15.6 Inch | Celeron Dual Core | 4 GB | Linux | 500 GB HDD),Acer, Celeron Dual Core ,AMD,4, Linux , 500 GB HDD,15.6,20799,NA/OOS,NA/OOS,NA/OOS,4
4212,ASUS ROG GL553VE-FY047T Laptop (15.6 Inch | Core i7 7th Gen | 8 GB | Windows 10 | 1 TB HDD),ASUS, Core i7 7th Gen ,Intel,8, Windows 10 , 1 TB HDD,15.6,117990,NA/OOS,NA/OOS,NA/OOS,4.1
4213,Lenovo Ideapad 520 (81BF00AWIN) Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 2 TB HDD),Lenovo, Core i5 8th Gen ,Intel,8, Windows 10 , 2 TB HDD,15.6,58990,NA/OOS,NA/OOS,NA/OOS,3.8
4214,Lenovo Ideapad Slim 3i (81WD00AVIN) Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),Lenovo, Core i5 10th Gen ,Intel,8, Windows 10 , 512 GB SSD,15.6,49990,NA/OOS,NA/OOS,NA/OOS,
4215,Lenovo Ideapad Slim 5i (81YH00B2IN) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),Lenovo, Core i5 10th Gen ,Intel,8, Windows 10 , 512 GB SSD,14,57990,NA/OOS,NA/OOS,NA/OOS,
4216,HP ENVY TouchSmart 15-W101TX X360 (T5Q54PA) Laptop (15.6 Inch | Core i7 6th Gen | 8 GB | Windows 10 | 1 TB HDD),HP, Core i7 6th Gen ,Intel,8, Windows 10 , 1 TB HDD,15.6,89190,NA/OOS,NA/OOS,NA/OOS,4.3
4217,Dell Inspiron 15 5570 (B560144WIN9) Laptop (15.6 Inch | Core i5 8th Gen | 4 GB | Windows 10 | 2 TB HDD 16 GB SSD),Dell, Core i5 8th Gen ,Intel,4, Windows 10 , 2 TB HDD 16 GB SSD,15.6,54990,NA/OOS,NA/OOS,NA/OOS,3.6
4218,HP Envy 13 x360 13-ag0035au (5FP71PA) Laptop (13.3 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 10 | 256 GB SSD),HP, AMD Quad Core Ryzen 5 ,AMD,8, Windows 10 , 256 GB SSD,13.3,64528,NA/OOS,NA/OOS,NA/OOS,4
4219,ASUS Zenbook 14 UM425IA-AM051TS Laptop (14 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 10 | 512 GB SSD),ASUS, AMD Octa Core Ryzen 7 ,AMD,16, Windows 10 , 512 GB SSD,14,94990,NA/OOS,NA/OOS,NA/OOS,3.8
4220,HP 15q-bu003tu (2LS30PA) Laptop (15.6 Inch | Core i3 6th Gen | 4 GB | DOS | 1 TB HDD),HP, Core i3 6th Gen ,Intel,4, DOS , 1 TB HDD,15.6,27990,NA/OOS,NA/OOS,NA/OOS,4.2
4221,ASUS Zenbook 14 UM425IA-AM049TS Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD),ASUS, AMD Hexa Core Ryzen 5 ,AMD,8, Windows 10 , 512 GB SSD,14,74900,NA/OOS,NA/OOS,NA/OOS,3.4
4222,Lenovo V15 (82C5A009IH) Laptop (15.6 Inch | Core i3 10th Gen | 4 GB | DOS | 1 TB HDD),Lenovo, Core i3 10th Gen ,Intel,4, DOS , 1 TB HDD,15.6,36999,NA/OOS,NA/OOS,NA/OOS,
4223,Lenovo V15 (82C500PFIH) Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 256 GB SSD),Lenovo, Core i5 10th Gen ,Intel,8, Windows 10 , 256 GB SSD,15.6,44990,NA/OOS,NA/OOS,NA/OOS,
4224,Lenovo Thinkpad E14 (20RAS13L00) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 256 GB SSD),Lenovo, Core i5 10th Gen ,Intel,8, Windows 10 , 256 GB SSD,14,67390,NA/OOS,NA/OOS,NA/OOS,
4225,Lenovo Legion Y540 (81SY00TGIN) Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),Lenovo, Core i5 9th Gen ,Intel,8, Windows 10 , 1 TB HDD 256 GB SSD,15.6,75490,NA/OOS,NA/OOS,NA/OOS,
